受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2022/1/1,20,30339000,20377500,18709800,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,10960400,2346400,3859650,3431700
2022/1/1,21,31284500,20273500,18566900,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,11562150,2055700,3869800,3367550
2022/1/1,22,32959350,20154650,18604100,7.59,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.01,11719700,1990900,3815600,3290000
2022/1/1,23,33059050,19956950,18685550,1,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.61,0.01,11877150,1976250,3555000,3164550
2022/1/1,24,34051600,19596700,18564400,0.01,2,2,2,2,2,2,2,2,0.01,12106500,1975650,3398150,3063350
2022/1/1,25,34144400,19630900,18606750,0.01,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,12112800,1975450,3355500,3030850
2022/1/1,26,33882900,19504700,18480650,0.01,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,12077450,1975100,3353650,3029100
2022/1/1,27,33655950,19545400,18426550,0.01,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,0.01,11681400,1986050,3533450,3209000
2022/1/1,28,32089200,19473450,18181900,0.01,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,0.01,11271350,2045700,3702300,3360450
2022/1/1,29,31404450,19387550,17927100,2,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.01,10662450,2074950,3766700,3317700
2022/1/1,30,29676650,19089750,17596550,7.56,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,10366550,2076550,3720700,3267850
2022/1/1,31,28991950,19131850,17425000,9.87,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,0.01,9629150,2086300,3925350,3356600
2022/1/1,32,27102200,19352300,17082550,9.87,15.39,15.39,15.39,15.39,13.85,13.85,13.85,13.85,0.01,9062250,2158500,3998050,3420250
2022/1/1,33,24834650,20361850,17051150,16.65,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.62,2,8348450,2499900,4192150,3378300
2022/1/1,34,23022950,21563500,17010650,26.64,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,9.87,7578750,2885150,4423200,3274000
2022/1/1,35,22273900,22303700,17910600,22,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,15.46,6575050,3340450,4469900,3230200
2022/1/1,36,22193700,22915100,18366850,20.11,25,25,25,25,25,25,25,25,15.46,6366650,3631350,4536500,3215250
2022/1/1,37,22777950,23435600,18886400,19.84,25,25,25,25,25,25,25,25,15.46,6741900,3908350,4366650,3128400
2022/1/1,38,23080300,23878150,19079750,19.9,26.64,26.64,26.64,26.64,26.64,26.64,26.64,26.64,15.46,7046850,4147800,4508950,3143200
2022/1/1,39,23020500,23963200,19228650,19.84,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,15.46,7136900,4286850,4352100,3146850
2022/1/1,40,22573650,23987300,19010250,20.2,31.02,31.02,31.02,31.02,31.02,31.02,31.02,31.02,15.46,6986050,4208000,4230400,3143100
2022/1/1,41,22295950,23706200,18786550,20.2,32.23,32.23,32.23,32.23,32.23,32.23,32.23,32.23,15.46,6790550,4207500,4151500,3028700
2022/1/1,42,22143500,23601700,18678900,20.26,31.82,31.82,31.82,31.82,31.82,31.82,31.82,31.82,15.46,6720850,4222300,3996600,2868800
2022/1/1,43,21691050,23310800,18591000,19.9,30,30,30,30,30,30,30,30,15.46,6546250,4194200,3836000,2703700
2022/1/1,44,21890500,23078200,18667100,16.66,20,20,20,20,20,20,20,20,13.25,6468700,4285650,3749850,2513850
2022/1/1,45,21837300,22594450,18354200,20.26,31.95,31.95,31.95,31.95,31.95,31.95,31.95,31.95,13.25,6583400,4248350,3369550,2463250
2022/1/1,46,21627850,21848100,18218900,19.25,27.13,27.13,27.13,27.13,27.13,27.13,27.13,27.13,13.25,6346300,4135750,2967300,2312800
2022/1/1,47,21242750,21428050,17995000,16,22,22,22,22,22,22,22,22,13.25,6135750,4058200,2818600,2149350
2022/1/1,48,20158400,20110050,17301400,15.46,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,11.62,5535650,3951100,2084000,1386250
2022/1/2,1,18670300,19545100,16340300,15.46,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,13.25,5325450,3591500,1971800,1012250
2022/1/2,2,20349450,20313400,16864050,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,10,5901150,3738000,2855150,1840300
2022/1/2,3,21297750,20738200,17178950,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,13.25,6184950,3721450,3498050,2332300
2022/1/2,4,21559850,20914700,17214700,15.46,15.86,15.86,15.86,15.86,15.86,15.86,15.86,15.86,9.5,6293000,3699150,4000400,2571600
2022/1/2,5,21763550,21186050,17339000,15.46,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,13.25,6332600,3664650,4340650,2720550
2022/1/2,6,21985550,21358250,17343100,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.25,6477600,3649200,4558250,2903600
2022/1/2,7,21957700,21555400,17362250,16.96,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.62,13.25,6523850,3645950,4730450,3063300
2022/1/2,8,22316050,21662250,17419400,16.61,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,13.25,6697950,3679550,4880700,3213600
2022/1/2,9,22349900,21733350,17400000,16.95,28.8,28.8,28.8,28.8,20.2,20.2,20.2,20.2,6.4,6788150,3689250,5047100,3379500
2022/1/2,10,22715850,21764550,17579050,16.5,28.88,28.88,28.88,28.88,19.62,19.62,19.62,19.62,5.13,7029300,3682900,5028100,3351150
2022/1/2,11,22900650,21626750,17624150,15.46,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,4.04,7133950,3692750,4898650,3320050
2022/1/2,12,23032600,21533650,17698900,15.46,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.97,5,7397950,3777550,4803750,3318050
2022/1/2,13,23653250,21168050,17325750,15.46,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,13.25,7574000,3778100,4634150,3269450
2022/1/2,14,23252050,21473950,17366700,15.92,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7397900,3783500,4550350,3238750
2022/1/2,15,23373000,21574500,17632750,16.61,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7614800,3837400,4268450,3076600
2022/1/2,16,23503850,21770850,17790350,16.61,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7527350,3722950,4122700,2976500
2022/1/2,17,24221750,21737250,18208950,15.46,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,13.25,7573700,3588100,4006350,2990350
2022/1/2,18,25275100,21633700,18352800,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,9.87,8068800,3347500,3795700,2826150
2022/1/2,19,26076600,21651800,18430950,13.25,15,15,15,15,15,15,15,15,9.87,8770150,3113750,3622500,2681200
2022/1/2,20,27012000,21078700,18253950,11.17,15,15,15,15,15,15,15,15,4.04,8669200,2685750,3398450,2603850
2022/1/2,21,27418150,20587350,18189000,9.87,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,2,9096650,2398650,3355000,2652200
2022/1/2,22,28443700,20231450,18039750,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,2,9081400,2084400,3170050,2589000
2022/1/2,23,28837500,20125100,18150700,8.89,10.35,10.35,10.35,10,10,10,10,10,0.01,9549550,2111600,3026350,2585250
2022/1/2,24,29724000,20024100,18213800,7.38,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,0.01,9917650,2068100,3064750,2575450
2022/1/2,25,30137800,19898550,18177800,7.34,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,0.01,10081600,2022600,3102050,2559350
2022/1/2,26,30509350,19662000,18065650,6.9,7.35,7.34,7.34,7.34,7.34,7.34,7.34,7.34,0.01,10059950,2018950,3095150,2557000
2022/1/2,27,30067900,19636850,18081400,7.03,7.43,7.43,7.43,7.43,7.43,7.43,7.43,7.43,0.01,9557550,2039050,3061200,2596550
2022/1/2,28,29148450,19506000,17948250,7.15,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.01,9044350,2099350,3022650,2627350
2022/1/2,29,28262200,19152150,17554700,7.5,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,0.01,8982450,2075350,3010850,2555450
2022/1/2,30,27337150,18933150,17272100,8.47,10,10,10,10,10,10,10,10,0.01,8734750,2104300,2940550,2367250
2022/1/2,31,26419900,19326100,17560900,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,8339050,2397050,3109100,2375600
2022/1/2,32,24808000,19560950,17204000,11.17,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,0.1,8345000,2661700,3157150,2425650
2022/1/2,33,24104450,19872550,16936900,15.07,27.96,27.96,27.96,27.96,13.91,13.91,13.91,13.91,9.87,8236600,3000800,3227500,2377700
2022/1/2,34,21894000,20927850,16879900,19.84,35.41,35.41,35.41,35.41,19.9,19.9,19.9,19.9,13.25,7079500,3224550,3192300,2378900
2022/1/2,35,22954050,22051350,18511550,17.1,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,13.25,6977400,3683400,3518500,2839200
2022/1/2,36,23168350,22845950,18956700,17.11,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,15.46,7164900,4008500,3701100,3025300
2022/1/2,37,23690700,23559700,19530650,17.11,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,15.46,7422850,4260450,3839200,3162750
2022/1/2,38,23841400,23535750,19509350,17.11,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.02,15.46,7633000,4277600,3825350,3170050
2022/1/2,39,24222000,23973600,19583900,17.11,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,15.46,7744600,4238700,3790650,3143500
2022/1/2,40,24343850,23721250,19500150,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,15.46,7742850,4216950,3685200,3082250
2022/1/2,41,24244900,23641950,19296550,17.11,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,15.46,7709850,4215950,3741100,3146350
2022/1/2,42,24256200,23676850,19259000,17.11,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,15.46,7764850,4191700,3731300,3028850
2022/1/2,43,24053700,23343000,19092100,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7909100,4168200,3594050,2896300
2022/1/2,44,23888500,22878400,18753200,17.1,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7734650,4143750,3300500,2660150
2022/1/2,45,22663000,22123500,18208100,19.62,28.69,28.69,28.69,28.69,28.69,28.69,28.69,28.69,13.25,7395400,4079500,3081900,2464250
2022/1/2,46,22564800,21477450,18102000,16.37,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,13.25,7141050,3995350,2760450,2321700
2022/1/2,47,21997350,21100800,17912700,15.46,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,13.25,6697200,3877400,2575550,2113900
2022/1/2,48,20954400,19825750,17372950,15,15,15,15,15,15,15,15,15,13.25,6018100,3869450,1882650,1417000
2022/1/3,1,19475000,19123900,16603650,14.62,16,16,16,16,16,16,16,16,13.25,5596600,3442750,1984150,1481000
2022/1/3,2,21134450,19783350,17191400,13.85,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,13.25,6222400,3579600,2948650,2331700
2022/1/3,3,22451300,20230250,17515050,15.26,16,16,16,16,16,16,16,16,13.25,6907300,3601650,3610850,2914950
2022/1/3,4,22948000,20396100,17703750,13.85,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,13.25,7112450,3598700,4065450,3222300
2022/1/3,5,23381800,20629950,17762500,15.46,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,13.25,7303700,3572950,4348150,3386650
2022/1/3,6,23539450,20674650,17714650,15.46,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.25,7445650,3578600,4516250,3437200
2022/1/3,7,23617100,20860050,17750500,15.46,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,13.25,7525900,3578350,4663250,3590950
2022/1/3,8,23899750,20889900,17786800,15.46,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,11.87,7682050,3577200,4740650,3637800
2022/1/3,9,24055100,20918150,17765300,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,13.25,7765600,3568550,4794950,3602700
2022/1/3,10,24002400,21078850,17749250,15.5,16,16,16,16.61,16.61,16.61,16.61,16.61,4.04,7842850,3548800,5028100,3763850
2022/1/3,11,24191250,21184950,17830700,15.46,16,16,16,16.97,16.97,16.97,16.97,16.97,4.04,8112850,3579800,5007650,3743200
2022/1/3,12,24153350,21176200,17901700,15.46,16,16,16,16.97,16.97,16.97,16.97,16.97,10,8136800,3661550,4869250,3705750
2022/1/3,13,24056050,20916050,17738050,15.46,16,16,16,16.95,16.95,16.95,16.95,16.95,13.25,7798350,3669200,4727600,3629100
2022/1/3,14,24351100,21224250,17763100,15.46,16.74,16.74,16.74,19.62,19.62,19.62,19.62,19.62,13.25,8111750,3694100,4745200,3554900
2022/1/3,15,24067550,21381900,17590450,16.74,16.74,16.74,16.74,19.9,19.9,19.9,19.9,19.9,13.25,8229850,3540200,4504300,3441450
2022/1/3,16,24163250,21486950,17633550,16.74,16.75,16.75,16.75,19.9,19.9,19.9,19.9,19.9,13.25,8145900,3348600,4594150,3439300
2022/1/3,17,25197450,21572250,18034450,16,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,13.25,8389950,3240750,4448250,3515750
2022/1/3,18,26873100,21421950,18311200,15.15,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,9.87,9268600,2997400,4184600,3300650
2022/1/3,19,27203000,21303050,18619050,13.25,16,16,16,16,16,16,16,16,2,9535850,2752150,3976100,3163950
2022/1/3,20,28993250,20529700,18689200,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,9598950,2363200,3561400,2904300
2022/1/3,21,29325800,19580700,18036700,8.86,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,0.01,9929200,2061600,3321300,2931500
2022/1/3,22,31205300,19407350,18418850,2,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,10743050,2026350,3278100,2990100
2022/1/3,23,32268600,19295300,18309850,0.01,1,1,1,1,1,1,1,1,0.01,10975900,2052050,3256100,2968150
2022/1/3,24,32557300,19075650,18181150,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11119600,2048150,3279300,2991450
2022/1/3,25,32888650,19050350,18157550,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11312050,2046150,3346550,3058750
2022/1/3,26,32745350,19019050,18057450,0.01,1,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.01,11174300,2047400,3365400,3101300
2022/1/3,27,31679050,18862550,17931600,0.01,1,1,1,1,1,1,1,1,0.01,10317550,2062650,3337100,3103650
2022/1/3,28,30397850,18931450,18002900,0.01,2,2,2,2,2,2,2,2,0.01,9530600,2125200,3183700,2952650
2022/1/3,29,29267450,18778350,17753400,0.01,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,0.01,9058000,2154750,3057050,2790900
2022/1/3,30,28118450,18984850,17474800,2,11.17,11.17,11.17,11.17,7.97,7.97,7.97,7.97,0.01,8823700,2117000,3373800,2951650
2022/1/3,31,27616500,19493750,17393100,9.87,14.62,14.62,14.62,14.62,8.67,8.67,8.67,8.67,0.01,8343100,2119950,3703400,3147500
2022/1/3,32,25648950,19229250,16747750,9.87,16,16,16,16,13.42,13.42,13.42,13.42,0.01,7994600,2204700,3561150,2939100
2022/1/3,33,24322450,19539900,16508800,13.42,16.75,16.75,16.75,16.75,13.62,13.62,13.62,13.62,0.1,7896800,2671100,3684900,3025550
2022/1/3,34,22692300,20467950,16997150,16.75,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,9.87,7331950,2939900,3731250,2845300
2022/1/3,35,22809600,21899000,18057800,16.75,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,13.25,6882350,3384350,4021000,3056950
2022/1/3,36,22575550,22762000,18606250,16.75,24.27,24.27,24.27,24.27,24.27,24.27,24.27,24.27,15.46,6713950,3634300,4322500,3324150
2022/1/3,37,23578600,23762400,19099300,19.25,24.27,24.27,24.27,24.27,24.27,24.27,24.27,24.27,15.46,6956250,3928600,4216150,3256000
2022/1/3,38,23976100,23959750,19375300,16.75,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,15.46,7409850,4282200,4224700,3263450
2022/1/3,39,24026700,24179500,19580900,16.75,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,15.46,7692400,4410750,4269800,3253000
2022/1/3,40,24176950,23802500,19454950,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,15.46,7672600,4390950,4086800,3102150
2022/1/3,41,24259000,23807750,19299600,16.75,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.62,15.46,7663800,4357650,4178750,3091150
2022/1/3,42,24281750,23685800,19120950,16.75,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,15.46,7735450,4332800,4044400,2907550
2022/1/3,43,23526600,22792900,19012500,16.75,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,13.25,7768500,4365850,3783100,2801450
2022/1/3,44,23342000,22356150,18674600,16.74,16.75,16.75,16.75,17.11,17.11,17.11,17.11,17.11,13.25,7593200,4340550,3474250,2616500
2022/1/3,45,22813350,21828200,18079150,19.25,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,13.25,7727250,4208300,3146950,2452400
2022/1/3,46,22692450,21097050,17972400,15.46,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,13.25,7414750,4095800,2795650,2281400
2022/1/3,47,22201450,20385500,17771700,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,13.25,7034300,3994350,2529550,2071700
2022/1/3,48,21033650,19205900,17268100,13.25,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.25,6224500,3913050,1807400,1445750
2022/1/4,1,17007800,19044250,16354200,15.46,16,16,16,16,16,16,16,16,13.25,3698700,3572900,1545300,1139850
2022/1/4,2,18749950,19797300,17080050,15,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,9.87,3970150,3749900,2550950,2122300
2022/1/4,3,19665850,20357550,17754700,13.85,15.69,15.69,15.69,15.69,15.69,15.69,15.69,15.69,13.25,4098250,3797050,3492000,3005400
2022/1/4,4,20286450,20747000,18171750,13.25,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,4.04,4271000,3878050,4146400,3432350
2022/1/4,5,20439850,21010300,18186350,13.46,14.55,14.55,14.55,14.55,14.55,14.55,14.55,14.55,13.25,4377350,3893950,4485850,3662450
2022/1/4,6,20632750,21179500,18300250,13.85,15,15,15,15.69,15.69,15.69,15.69,15.69,13.25,4412950,3893200,4756600,3894650
2022/1/4,7,20705450,21347900,18325850,15,15,15,15,15.94,15.94,15.94,15.94,15.94,13.25,4423550,3892800,4968750,4085450
2022/1/4,8,20900300,21419550,18379100,15.46,12.99,12.99,12.99,16.61,16.61,16.61,16.61,16.61,13.25,4538650,3934400,5154700,4266800
2022/1/4,9,21120600,21307300,18388150,15.46,15,15,15,15.96,15.96,15.96,15.96,15.96,13.25,4640850,3973100,5128000,4293350
2022/1/4,10,21132850,21447900,18402850,15.46,15,15,15,16.97,16.97,16.97,16.97,16.97,4.04,4771450,3948700,5222350,4437550
2022/1/4,11,21186400,21509200,18413300,15.46,15,15,15,16.97,16.97,16.97,16.97,16.97,4.04,4828550,3951800,5083100,4304000
2022/1/4,12,20749900,21598700,18415400,15.46,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.97,13.25,4858250,3948350,5086000,4212550
2022/1/4,13,21922850,22277850,18955250,15.46,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,13.25,5031600,3957500,4844350,4004200
2022/1/4,14,21278250,22696900,18870700,16.01,17.57,17.57,17.57,19.9,19.9,19.9,19.9,19.9,13.25,5129600,4041650,4769800,3785700
2022/1/4,15,22225250,23393100,19404500,17.57,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,13.25,5137350,3919800,4716150,3673350
2022/1/4,16,21672350,23561000,19361400,17.58,17.58,17.58,17.58,19.9,19.9,19.9,19.9,19.9,13.25,5010950,3719400,4326850,3338400
2022/1/4,17,22366300,23909500,19764400,17.57,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,15.46,5140100,3630300,4406500,3305450
2022/1/4,18,23124350,23836600,19794900,17.57,17.58,17.58,17.58,19.84,19.84,19.84,19.84,19.84,15.46,5259650,3369450,4059950,3219200
2022/1/4,19,22849650,23434500,19561900,16.61,23,23,23,23,23,23,23,23,9.87,5638750,3088350,3994850,3189300
2022/1/4,20,24701200,22712750,19290950,13,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,9.87,5706300,2700100,4080500,3227150
2022/1/4,21,25727300,22440350,19499250,9.87,15,15,15,15,15,15,15,15,9.87,5817050,2399900,4255350,3363350
2022/1/4,22,26939400,22153650,19583700,9.87,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,8.66,6491550,2410600,4213850,3302300
2022/1/4,23,27911350,22265900,19635500,9.87,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,0.01,6917350,2309250,4237850,3297450
2022/1/4,24,28506750,22172500,19566650,9.87,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.01,7124350,2346050,4471100,3298500
2022/1/4,25,29032400,21771900,19246500,8.19,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,0.01,7121950,2211650,4435200,3479050
2022/1/4,26,29017500,21641250,19181200,7.7,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,7112750,2209100,4419700,3445850
2022/1/4,27,28088000,21737550,19111850,8.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,0.01,6683750,2156600,4518400,3341600
2022/1/4,28,26870400,21941550,19126350,9.87,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06,0.01,5769850,2147350,4535650,3481050
2022/1/4,29,25935750,21727600,18979800,9.87,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.06,0.01,5304600,2150450,4505900,3618250
2022/1/4,30,25320350,21736700,18954000,9.87,14.79,14.79,14.79,14.79,14.79,14.79,14.79,14.79,0.01,5177850,2156950,4433050,3583700
2022/1/4,31,25251600,21267150,18681200,9.87,15,15,15,15,15,15,15,14.39,0.01,4974600,2167350,4113600,3390250
2022/1/4,32,23730150,21412750,18525600,11.17,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,9.83,5332350,2552500,3733600,3104800
2022/1/4,33,23415000,22372950,18509200,16.61,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,9.83,5597800,3019900,3773450,3039900
2022/1/4,34,21747200,23244700,19204550,17.58,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,15.46,5163400,3410150,3827400,2988850
2022/1/4,35,21206800,23887200,19428300,19.84,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,15.46,5041150,3700050,3858450,2978900
2022/1/4,36,21200850,24275750,19795350,20,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,15.46,5156050,4016300,3722000,2928950
2022/1/4,37,21657500,24433400,20028050,19.9,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,15.46,5465250,4283300,3613000,2820800
